"ID","target"
1,0.359933
3,0.376256
6,0.283838
9,0.30286
10,0.60808
11,0.138673
12,0.052825
13,0.062701
15,0.157252
17,0.0920249
18,0.623227
19,0.108272
27,0.2036
29,0.0453291
33,0.634479
34,0.0634334
39,0.178825
41,0.110402
44,0.0464824
45,0.429177
47,0.15385
48,0.0330876
49,0.16747
53,0.0995872
56,0.105537
57,0.275865
59,0.0372063
61,0.112061
64,0.0410375
68,0.1121
72,0.407166
73,0.123716
81,0.0439063
82,0.408724
85,0.0636811
87,0.0721283
88,0.2301
92,0.0642817
95,0.0267664
96,0.04225
97,0.066359
99,0.191788
103,0.286526
104,0.0981824
105,0.415427
106,0.204099
111,0.211897
112,0.397818
114,0.0633222
117,0.116107
118,0.0716192
119,0.0328195
120,0.197361
121,0.0668368
123,0.330088
127,0.0640473
129,0.0951352
130,0.0802175
132,0.0785811
133,0.326263
134,0.0771339
135,0.249386
139,0.228081
141,0.0190899
142,0.135048
145,0.0681914
146,0.10937
147,0.446783
150,0.0831082
152,0.204932
153,0.116933
158,0.119131
160,0.368106
163,0.426623
164,0.0275295
171,0.0821598
172,0.34601
173,0.0188094
174,0.222441
175,0.053377
176,0.220221
177,0.697889
178,0.140391
179,0.109894
180,0.409737
181,0.539258
182,0.187513
185,0.531489
187,0.0771886
189,0.05863
190,0.075277
192,0.0838495
193,0.287287
200,0.101011
201,0.312817
202,0.378955
203,0.0669933
204,0.150398
205,0.229756
206,0.212042
208,0.114374
209,0.148864
212,0.730187
214,0.054832
216,0.181962
224,0.0422379
227,0.132222
228,0.416663
229,0.262891
230,0.402029
231,0.822513
232,0.0365248
233,0.441318
235,0.0878674
237,0.551042
240,0.0958983
243,0.0614584
244,0.674133
245,0.167027
246,0.210599
247,0.118195
248,0.108131
250,0.151647
252,0.278559
254,0.0939658
255,0.173817
257,0.0582403
267,0.0305752
268,0.509254
271,0.707785
274,0.149052
277,0.385712
280,0.0480715
281,0.241294
283,0.394712
284,0.608619
286,0.0983919
287,0.116283
288,0.0592231
290,0.055841
291,0.156321
292,0.0750249
295,0.213578
301,0.137333
303,0.237803
304,0.162941
305,0.680051
308,0.0587522
313,0.07118
314,0.0285053
315,0.0778363
317,0.126578
318,0.40948
319,0.286739
320,0.543891
323,0.0679736
325,0.11424
327,0.183217
328,0.0771503
329,0.0909618
330,0.0263351
333,0.586803
334,0.145123
342,0.165856
343,0.250825
346,0.0995561
347,0.0733971
348,0.193675
353,0.0518191
354,0.0589577
356,0.0751508
358,0.498031
359,0.308497
360,0.15167
361,0.118582
365,0.165073
366,0.482494
367,0.136912
370,0.182493
371,0.245205
373,0.724864
375,0.268592
378,0.186124
379,0.477466
380,0.156263
383,0.532165
388,0.209616
389,0.271237
392,0.0710962
395,0.157209
396,0.0391498
397,0.56082
400,0.0832786
401,0.151437
402,0.401403
403,0.624426
405,0.0386901
408,0.115088
410,0.177619
414,0.0916006
415,0.489973
416,0.305773
418,0.235336
422,0.034625
424,0.166522
427,0.166705
428,0.0580327
429,0.178088
430,0.66173
436,0.0401373
437,0.0704027
438,0.0458544
440,0.450106
441,0.340285
443,0.199034
445,0.0333368
446,0.0615246
447,0.218869
448,0.266756
451,0.543039
453,0.078714
454,0.132151
458,0.414212
460,0.076533
461,0.057932
463,0.0214053
465,0.312211
466,0.404453
469,0.2235
470,0.126908
474,0.184186
475,0.144499
484,0.0332853
485,0.354898
486,0.228781
490,0.0462623
493,0.086009
494,0.242408
497,0.130701
498,0.1741
501,0.0267968
503,0.373164
508,0.848251
510,0.233157
511,0.0242729
512,0.340199
513,0.0900721
514,0.0766989
515,0.123737
517,0.0960091
518,0.656388
519,0.14811
523,0.338557
525,0.13245
526,0.0719558
530,0.108356
532,0.15151
537,0.112405
538,0.384507
539,0.371122
541,0.133879
542,0.0932711
544,0.463825
545,0.334758
550,0.768105
551,0.136392
552,0.188798
553,0.0921798
557,0.372995
558,0.219019
564,0.30511
567,0.0576643
568,0.0225319
571,0.117399
575,0.597419
577,0.116648
578,0.258138
580,0.136094
586,0.433568
589,0.102362
591,0.233328
592,0.237032
593,0.045925
595,0.24782
596,0.175321
599,0.484816
608,0.0421792
610,0.495729
611,0.0213623
614,0.604511
616,0.248743
618,0.0920496
619,0.146643
620,0.0235522
621,0.068992
622,0.0659788
627,0.0597998
629,0.0576554
630,0.0874201
631,0.419096
632,0.244091
633,0.120381
634,0.164658
635,0.103082
636,0.120565
637,0.0586075
638,0.183364
639,0.625016
641,0.275871
648,0.0585329
649,0.279705
654,0.347651
660,0.0818405
662,0.735924
664,0.0159404
665,0.253324
669,0.0355365
670,0.0800172
671,0.353888
672,0.463689
675,0.192941
676,0.0976466
677,0.179159
678,0.0969108
680,0.155124
681,0.219066
683,0.134864
684,0.645449
696,0.0619218
697,0.200578
698,0.652493
699,0.156708
700,0.0447789
701,0.117377
702,0.0886053
703,0.174733
704,0.0677818
705,0.112661
707,0.429781
708,0.411294
712,0.117223
713,0.179417
715,0.182789
717,0.132508
720,0.10788
721,0.0825792
722,0.0943835
723,0.111268
728,0.335933
729,0.047871
731,0.28109
733,0.0591893
735,0.364135
736,0.695732
737,0.136239
739,0.244819
740,0.186179
742,0.0423649
743,0.0487911
745,0.0243481
747,0.0642586
749,0.12859
750,0.348416
751,0.546027
753,0.120646
755,0.0581366
757,0.101564
761,0.164346
763,0.335759
764,0.0835823
766,0.0302947
769,0.173988
770,0.114687
771,0.821611
